alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
14.77620825090759,2.36,2.67,18.6,101.0,2.8,5.14256833914571,0.3,2.81,10.422994238929151,1.03,3.17,1798.6491969265971
13.78620825090759,1.45,2.53,19.0,104.0,1.89,3.65256833914571,0.45,1.03,7.692994238929152,1.45,2.23,968.6491969265971
15.80620825090759,1.59,2.48,16.5,108.0,3.3,5.832568339145711,0.32,1.86,13.44299423892915,1.23,2.82,2293.649196926597
15.67620825090759,2.15,2.61,17.6,121.0,2.6,4.41256833914571,0.31,1.25,9.79299423892915,1.06,3.58,1908.6491969265971
14.68620825090759,1.5,2.1,15.5,98.0,2.4,4.542568339145711,0.28,1.37,8.442994238929153,1.18,2.69,1633.6491969265971
15.33620825090759,1.43,2.5,16.7,108.0,3.4,5.57256833914571,0.19,2.04,11.54299423892915,0.89,2.87,1898.6491969265971
15.45620825090759,4.12,2.38,19.5,89.0,1.8,2.7325683391457103,0.48,1.56,13.752994238929151,0.57,1.64,1093.6491969265971
13.26620825090759,1.67,2.62,26.0,88.0,1.92,3.5125683391457105,0.4,1.34,7.342994238929151,1.36,3.21,1175.6491969265971
13.17620825090759,2.05,3.23,28.5,119.0,3.18,6.98256833914571,0.47,1.87,10.742994238929152,0.93,3.69,1078.6491969265971
14.47620825090759,1.35,2.32,18.0,122.0,1.51,3.15256833914571,0.21,0.94,8.842994238929151,0.76,1.29,1243.6491969265971
14.38620825090759,3.43,1.98,16.0,80.0,1.63,3.15256833914571,0.43,0.83,8.142994238929152,0.7,2.12,985.6491969265971
13.98620825090759,1.07,2.1,18.5,88.0,3.52,5.65256833914571,0.24,1.95,9.242994238929152,1.04,2.77,1273.6491969265971
15.746208250907591,4.1,2.74,24.5,96.0,2.05,2.6625683391457104,0.56,1.35,13.94299423892915,0.61,1.6,1173.6491969265971
13.23620825090759,1.99,2.28,18.0,98.0,3.02,4.16256833914571,0.17,1.35,7.9929942389291515,1.16,2.96,958.6491969265971
15.326208250907591,1.86,2.36,16.6,101.0,2.61,4.78256833914571,0.27,1.69,8.54299423892915,1.11,4.0,1648.6491969265971
14.78620825090759,5.19,2.32,22.0,93.0,1.74,2.5325683391457106,0.61,1.55,12.642994238929152,0.6,1.48,1338.6491969265971
14.64620825090759,0.9,1.71,16.0,86.0,1.95,3.9325683391457105,0.24,1.46,9.342994238929151,1.19,2.48,1005.6491969265971
14.46620825090759,1.6,2.52,17.8,95.0,2.48,4.27256833914571,0.26,1.46,8.672994238929151,1.09,3.63,1628.6491969265971
14.78620825090759,2.59,2.37,20.0,120.0,1.65,2.5825683391457104,0.53,1.46,14.042994238929152,0.6,1.62,1453.6491969265971
15.01620825090759,4.6,2.86,25.0,112.0,1.98,2.86256833914571,0.27,1.11,13.242994238929152,0.67,1.92,1243.6491969265971
13.95620825090759,2.45,2.46,21.0,98.0,2.56,4.0125683391457105,0.34,1.31,7.542994238929151,0.8,3.38,1051.6491969265971
13.86620825090759,3.88,2.2,18.5,112.0,1.38,2.6825683391457105,0.29,1.14,12.952994238929152,0.65,2.0,1468.6491969265971
15.10620825090759,3.59,2.19,19.5,88.0,1.62,2.3825683391457106,0.58,0.88,10.442994238929153,0.81,1.82,1193.6491969265971
15.23620825090759,4.95,2.35,20.0,92.0,2.0,2.7025683391457105,0.47,1.02,9.142994238929152,0.91,2.05,1163.6491969265971
14.95620825090759,0.94,2.36,17.0,110.0,2.53,3.2025683391457105,0.55,0.42,7.912994238929151,1.02,1.93,1363.6491969265971
15.39620825090759,2.76,2.3,22.0,90.0,1.35,2.5825683391457104,0.41,1.03,14.322994238929152,0.7,1.68,1228.6491969265971
15.09620825090759,1.81,2.41,20.5,100.0,2.7,4.882568339145711,0.26,1.86,9.842994238929151,1.04,3.47,1533.6491969265971
15.28620825090759,1.25,1.92,18.0,94.0,2.1,3.6925683391457103,0.32,0.73,8.54299423892915,1.23,2.46,1243.6491969265971
15.996208250907591,1.87,2.38,12.0,102.0,3.3,5.542568339145711,0.29,2.96,12.242994238929152,1.2,3.0,2160.649196926597
13.37620825090759,2.68,2.92,20.0,103.0,1.75,3.9325683391457105,0.6,1.05,8.54299423892915,1.23,2.5,1220.6491969265971
14.54620825090759,3.8,2.65,18.6,102.0,2.41,4.31256833914571,0.25,1.98,9.242994238929152,1.03,3.52,1383.6491969265971
14.72620825090759,1.01,1.7,15.0,78.0,2.98,5.082568339145711,0.26,2.28,10.04299423892915,1.12,3.18,1115.6491969265971
14.12620825090759,1.24,2.25,17.5,85.0,2.0,2.4825683391457103,0.6,1.25,10.192994238929153,0.75,1.51,1263.6491969265971
13.90620825090759,2.83,2.22,18.0,88.0,2.45,4.15256833914571,0.25,1.99,6.892994238929152,1.15,3.3,903.6491969265971
13.69620825090759,2.08,1.7,17.5,97.0,2.23,4.07256833914571,0.26,1.4,8.04299423892915,1.27,2.96,1323.6491969265971
15.326208250907591,5.65,2.45,20.5,95.0,1.68,2.5125683391457105,0.52,1.06,12.442994238929153,0.64,1.74,1353.6491969265971
13.94620825090759,1.1,2.28,16.0,101.0,2.05,2.9925683391457105,0.63,0.41,8.012994238929151,1.25,1.67,1293.6491969265971
13.65620825090759,4.3,2.38,22.0,80.0,2.1,3.65256833914571,0.42,1.35,7.342994238929151,0.79,2.57,1193.6491969265971
13.45620825090759,0.89,2.58,18.0,94.0,2.2,4.11256833914571,0.22,2.35,7.792994238929151,0.79,3.08,1133.6491969265971
15.67620825090759,1.63,2.28,16.0,126.0,3.0,5.07256833914571,0.24,2.1,10.392994238929152,1.09,3.71,1393.6491969265971
14.42620825090759,2.31,2.4,24.0,98.0,1.15,2.9925683391457105,0.27,0.83,10.442994238929153,0.66,1.36,1173.6491969265971
15.44620825090759,1.65,2.6,17.2,94.0,2.45,4.89256833914571,0.22,2.29,10.342994238929151,1.24,3.37,1878.6491969265971
15.996208250907591,3.59,2.28,16.0,102.0,3.25,5.07256833914571,0.27,2.19,9.642994238929152,1.04,3.44,1678.6491969265971
15.71620825090759,2.02,2.4,18.8,103.0,2.75,4.82256833914571,0.32,2.38,10.942994238929153,1.07,2.75,1673.6491969265971
15.71620825090759,2.16,2.3,18.0,105.0,2.95,5.2225683391457105,0.22,2.38,10.492994238929152,1.25,3.17,2123.649196926597
14.30620825090759,1.53,2.26,20.7,80.0,1.38,3.36256833914571,0.58,1.62,7.792994238929151,0.96,2.06,1108.6491969265971
13.98620825090759,1.63,2.3,24.5,88.0,2.22,4.35256833914571,0.4,1.9,6.862994238929152,0.89,2.78,955.6491969265971
15.496208250907591,1.89,2.59,15.0,101.0,3.25,5.462568339145711,0.17,1.7,10.172994238929151,0.88,3.56,1708.6491969265971
15.06620825090759,3.7,2.6,23.0,111.0,1.7,2.8225683391457106,0.43,1.46,15.422994238929151,0.85,1.56,1308.6491969265971
15.83620825090759,3.99,2.51,13.2,128.0,3.0,4.94256833914571,0.2,2.08,9.842994238929151,0.89,3.53,1373.6491969265971
13.83620825090759,1.29,1.94,19.0,92.0,2.36,3.9425683391457103,0.39,2.08,7.442994238929152,0.86,3.02,925.6491969265971
14.03620825090759,2.55,2.27,22.0,90.0,1.68,3.7425683391457105,0.66,1.42,7.442994238929152,0.86,3.3,928.6491969265971
